Parent_Site,Lokasi,Kecamatan,Label,Kelas_Detail,Confidence,Fold,Probability_Bawang,Prediction_050,Kelas_Detail_QC,Bawang_Spectral_Distance,QC_Final_Status,OOF_Result,Error_Severity,Audit_Priority,Verified_Label,Verification_Status,Verification_Notes
BW011,Persawahan Desa Rejoso,Rejoso,1,Bawang Merah,High,3,0.746853,1,Bawang Merah,2.1087403145287333,KEEP_HIGH,TRUE_POSITIVE,0.253147,OK,,BELUM_DIPERIKSA,
BW039,Area Pertanian Kedungglugu,Gondang,1,Bawang Merah,Medium,4,0.8262596,1,Bawang Merah,3.106924116426229,KEEP_MEDIUM,TRUE_POSITIVE,0.17374040000000002,OK,,BELUM_DIPERIKSA,
BW027,Pertanian Kendalrejo,Bagor,1,Bawang Merah,High,1,0.83379054,1,Bawang Merah,1.7321512517672468,KEEP_HIGH,TRUE_POSITIVE,0.16620946000000003,OK,,BELUM_DIPERIKSA,
BW022,Sawah Desa Guyangan,Bagor,1,Bawang Merah,High,1,0.8614375,1,Bawang Merah,3.004926602663009,KEEP_HIGH,TRUE_POSITIVE,0.13856250000000003,OK,,BELUM_DIPERIKSA,
BW025,Blok Timur Bagor,Bagor,1,Bawang Merah,Medium,4,0.86159164,1,Bawang Merah,0.8358165221145498,KEEP_MEDIUM,TRUE_POSITIVE,0.13840836,OK,,BELUM_DIPERIKSA,
BW033,Pertanian Desa Campur,Gondang,1,Bawang Merah,Medium,3,0.91874874,1,Bawang Merah,2.972256556393255,KEEP_MEDIUM,TRUE_POSITIVE,0.08125126000000005,OK,,BELUM_DIPERIKSA,
BW018,Sawah Perbatasan Bagor,Rejoso,1,Bawang Merah,Medium,1,0.92003876,1,Bawang Merah,2.00597317524265,KEEP_MEDIUM,TRUE_POSITIVE,0.07996124000000004,OK,,BELUM_DIPERIKSA,
BW024,Sawah Desa Paron,Bagor,1,Bawang Merah,High,1,0.92977226,1,Bawang Merah,1.0731290295230296,KEEP_HIGH,TRUE_POSITIVE,0.07022773999999998,OK,,BELUM_DIPERIKSA,
BW008,Perbatasan Nganjuk Kota,Sukomoro,1,Bawang Merah,Medium,2,0.9493004,1,Bawang Merah,2.5415391359910884,KEEP_MEDIUM,TRUE_POSITIVE,0.050699599999999956,OK,,BELUM_DIPERIKSA,
BW005,Persawahan Desa Kapas,Sukomoro,1,Bawang Merah,High,3,0.9583641,1,Bawang Merah,0.7573321991410042,KEEP_HIGH,TRUE_POSITIVE,0.04163589999999995,OK,,BELUM_DIPERIKSA,
BW021,Persawahan Desa Bagor Kulon,Bagor,1,Bawang Merah,High,3,0.9639145,1,Bawang Merah,1.683114207341974,KEEP_HIGH,TRUE_POSITIVE,0.03608549999999999,OK,,BELUM_DIPERIKSA,
