Parent_Site,Lokasi,Kecamatan,Label,Kelas_Detail,Confidence,Latitude,Longitude,N_Pixel,B2,B3,B4,B8,B11,B12,NDVI,NDWI,Bawang_Spectral_Distance,Positive_Spectral_Outlier,Hard_Negative,QC_Final_Status,Use_For_Training
BW006,Blok Pertanian Kapas Barat,Sukomoro,1,Bawang Merah,High,-7.606349920989429,111.93641752404542,1,0.0720499977469444,0.094650000333786,0.1070000007748603,0.271450012922287,0.2212000042200088,0.1356000006198883,0.2916136384010315,-0.4266977906227112,3.0730421239077366,False,False,KEEP_HIGH,True
BW022,Sawah Desa Guyangan,Bagor,1,Bawang Merah,High,-7.5723037717213,111.86140819782143,1,0.0797000005841255,0.0898500010371208,0.0847499966621398,0.1929499953985214,0.2000499963760376,0.161650002002716,0.3911630511283874,-0.3692299127578735,3.004926602663009,False,False,KEEP_HIGH,True
BW003,Selatan Stasiun Sukomoro,Sukomoro,1,Bawang Merah,High,-7.595390474523172,111.94611932911393,1,0.0577999986708164,0.0707999989390373,0.0697999969124794,0.1378999948501587,0.1105000004172325,0.0724000036716461,0.3222835958003998,-0.2898876368999481,2.42716195154345,False,False,KEEP_HIGH,True
BW011,Persawahan Desa Rejoso,Rejoso,1,Bawang Merah,High,-7.545084818612478,111.8852135528506,1,0.0520000010728836,0.0672999992966651,0.0551999993622303,0.1527999937534332,0.1002999991178512,0.0553000010550022,0.5188866853713989,-0.4622009694576263,2.1087403145287333,False,False,KEEP_HIGH,True
BW034,Area Selatan Gondang,Gondang,1,Bawang Merah,High,-7.508433555020402,111.95752793322222,1,0.0386999994516372,0.061549998819828,0.045449998229742,0.2072000056505203,0.1815000027418136,0.0997999981045723,0.637303352355957,-0.5455341339111328,1.9669155855962932,False,False,KEEP_HIGH,True
BW029,Area Selatan Jalan Arteri,Bagor,1,Bawang Merah,High,-7.5830835551307345,111.85619796917356,1,0.0475500002503395,0.0589499995112419,0.0571999996900558,0.1343999952077865,0.1530500054359436,0.0991000011563301,0.4094389081001282,-0.3877807259559631,1.908590635078026,False,False,KEEP_HIGH,True
BW012,Area Pertanian Banjarejo,Rejoso,1,Bawang Merah,High,-7.542300041231708,111.8814406286573,1,0.0533999986946582,0.0835999995470047,0.0857999995350837,0.2689000070095062,0.2161999940872192,0.1321000009775161,0.5246305465698242,-0.5210617184638977,1.7855052148341886,False,False,KEEP_HIGH,True
BW027,Pertanian Kendalrejo,Bagor,1,Bawang Merah,High,-7.59116839268781,111.85916240961114,1,0.0584000013768672,0.0819000005722045,0.0842000022530555,0.2280000001192093,0.2361000031232834,0.1548999994993209,0.4004983901977539,-0.4519402980804443,1.7321512517672468,False,False,KEEP_HIGH,True
BW021,Persawahan Desa Bagor Kulon,Bagor,1,Bawang Merah,High,-7.5750885491020705,111.85520982236102,1,0.0654499977827072,0.0906499996781349,0.0852499976754188,0.2221000045537948,0.1817000061273574,0.1228500008583068,0.4449287354946136,-0.4159249663352966,1.683114207341974,False,False,KEEP_HIGH,True
BW004,Area Timur Pasar Sukomoro,Sukomoro,1,Bawang Merah,High,-7.597546431205059,111.94719730745486,1,0.0577999986708164,0.0745000019669532,0.0711999982595443,0.1678999960422516,0.1151499971747398,0.0719999969005584,0.419687420129776,-0.3980297446250915,1.663246877098066,False,False,KEEP_HIGH,True
BW014,Timur Kantor Kecamatan,Rejoso,1,Bawang Merah,High,-7.54840858516372,111.88853731940183,1,0.0599000006914138,0.0781999975442886,0.069300003349781,0.201550006866455,0.1106500029563903,0.0640999972820282,0.5306845903396606,-0.4991340935230255,1.6584013208627215,False,False,KEEP_HIGH,True
BW019,Area Utara Jalan Tol,Rejoso,1,Bawang Merah,High,-7.5251422193050255,111.88620169966312,1,0.0575000010430812,0.0784000009298324,0.0859500020742416,0.2544000148773193,0.2151000052690506,0.1358000040054321,0.4866857528686523,-0.5263070464134216,1.5686057711381274,False,False,KEEP_HIGH,True
BW007,Sawah Desa Bungur,Sukomoro,1,Bawang Merah,High,-7.581197093034083,111.94010061671032,1,0.0473500005900859,0.0636999979615211,0.0582000017166137,0.231900006532669,0.1931000053882599,0.1339000016450882,0.5977163910865784,-0.5719962120056152,1.509849416794741,False,False,KEEP_HIGH,True
BW035,Sawah Desa Balonggebang,Gondang,1,Bawang Merah,High,-7.512655636855763,111.954204166671,1,0.0471000000834465,0.0664499998092651,0.0552500002086162,0.2374999970197677,0.2055500000715255,0.1124999970197677,0.6068192720413208,-0.5551743507385254,1.4512917064347888,False,False,KEEP_HIGH,True
BW010,Sawah Selatan Rel KA,Sukomoro,1,Bawang Merah,High,-7.596737947449351,111.94028027976714,1,0.0491999983787536,0.0697999969124794,0.0627999976277351,0.1676999926567077,0.1339000016450882,0.0869000032544136,0.4567901194095611,-0.4262227714061737,1.30757589596236,False,False,KEEP_HIGH,True
BW023,Area Pertanian Banaran,Bagor,1,Bawang Merah,High,-7.581197093034083,111.85161656122452,1,0.0520000010728836,0.0623000003397464,0.065600000321865,0.2345000058412552,0.1559000015258789,0.0838999971747398,0.5770470499992371,-0.5461441278457642,1.238383679257235,False,False,KEEP_HIGH,True
BW024,Sawah Desa Paron,Bagor,1,Bawang Merah,High,-7.588383615307039,111.85853358891224,1,0.0568000003695488,0.0791999995708465,0.0762000009417533,0.209099993109703,0.1454000025987625,0.1061000004410743,0.3593681454658508,-0.4066895842552185,1.0731290295230296,False,False,KEEP_HIGH,True
BW005,Persawahan Desa Kapas,Sukomoro,1,Bawang Merah,High,-7.605182111120074,111.9384836491989,1,0.0555999986827373,0.0786999985575676,0.0785999968647956,0.1974000036716461,0.1713999956846237,0.1103999987244606,0.4050343334674835,-0.4196676015853882,0.7573321991410042,False,False,KEEP_HIGH,True
BW020,Sawah Dekat Sungai,Rejoso,1,Bawang Merah,High,-7.541761052061236,111.88431523756648,1,0.0540000014007091,0.0719999969005584,0.067500002682209,0.2072000056505203,0.1608999967575073,0.1005999967455864,0.5111976861953735,-0.4853046536445617,0.4594397073689,False,False,KEEP_HIGH,True
NB007,Hutan Jati,Rejoso,0,Hutan Jati,High,-7.491455396150544,111.88422540603808,9,0.0289999991655349,0.0377999991178512,0.0276999995112419,0.0163000002503395,0.0151000004261732,0.0124000003561377,-0.3626373708248138,0.46875,9.715170432230513,False,False,KEEP_NEGATIVE,True
