Parent_Site,Label,Lokasi,Kecamatan,Latitude,Longitude,Confidence,Reference_Type,Source,B2,B3,B4,B8,B11,B12,NDVI,NDWI,Dataset_Version
BW019,1,Area Utara Jalan Tol,Rejoso,-7.5251422193050255,111.88620169966312,High,Positive_Reference,Original_Positive_Reference,0.0575000010430812,0.0784000009298324,0.0859500020742416,0.2544000148773193,0.2151000052690506,0.1358000040054321,0.4866857528686523,-0.5263070464134216,V4.1_STRICT
BW020,1,Sawah Dekat Sungai,Rejoso,-7.541761052061236,111.88431523756648,High,Positive_Reference,Original_Positive_Reference,0.0540000014007091,0.0719999969005584,0.067500002682209,0.2072000056505203,0.1608999967575073,0.1005999967455864,0.5111976861953735,-0.4853046536445617,V4.1_STRICT
BW021,1,Persawahan Desa Bagor Kulon,Bagor,-7.5750885491020705,111.85520982236102,High,Positive_Reference,Original_Positive_Reference,0.0654499977827072,0.0906499996781349,0.0852499976754188,0.2221000045537948,0.1817000061273574,0.1228500008583068,0.4449287354946136,-0.4159249663352966,V4.1_STRICT
BW022,1,Sawah Desa Guyangan,Bagor,-7.5723037717213,111.86140819782143,High,Positive_Reference,Original_Positive_Reference,0.0797000005841255,0.0898500010371208,0.0847499966621398,0.1929499953985214,0.2000499963760376,0.161650002002716,0.3911630511283874,-0.3692299127578735,V4.1_STRICT
BW023,1,Area Pertanian Banaran,Bagor,-7.581197093034083,111.85161656122452,High,Positive_Reference,Original_Positive_Reference,0.0520000010728836,0.0623000003397464,0.065600000321865,0.2345000058412552,0.1559000015258789,0.0838999971747398,0.5770470499992371,-0.5461441278457642,V4.1_STRICT
BW024,1,Sawah Desa Paron,Bagor,-7.588383615307039,111.85853358891224,High,Positive_Reference,Original_Positive_Reference,0.0568000003695488,0.0791999995708465,0.0762000009417533,0.209099993109703,0.1454000025987625,0.1061000004410743,0.3593681454658508,-0.4066895842552185,V4.1_STRICT
BW025,1,Blok Timur Bagor,Bagor,-7.575627538272542,111.86823539398075,Medium,Positive_Reference,Original_Positive_Reference,0.0531999990344047,0.0693999975919723,0.0737999975681305,0.1847999989986419,0.1509000062942505,0.1049999967217445,0.4217067062854767,-0.4143459796905517,V4.1_STRICT
BW026,1,Sawah Desa Ngumpul,Bagor,-7.568081689885938,111.86338449144652,High,Positive_Reference,Original_Positive_Reference,0.033050000667572,0.0577000007033348,0.0366499982774257,0.324999988079071,0.2027000039815902,0.1092500016093254,0.8064593076705933,-0.7008544206619263,V4.1_STRICT
BW027,1,Pertanian Kendalrejo,Bagor,-7.59116839268781,111.85916240961114,High,Positive_Reference,Original_Positive_Reference,0.0584000013768672,0.0819000005722045,0.0842000022530555,0.2280000001192093,0.2361000031232834,0.1548999994993209,0.4004983901977539,-0.4519402980804443,V4.1_STRICT
BW028,1,Sawah Barat Timbangan,Bagor,-7.57643602202825,111.86050988253731,High,Positive_Reference,Original_Positive_Reference,0.0763000026345253,0.0962999984622001,0.1071999967098236,0.1891999989748001,0.2008000016212463,0.134100005030632,0.279458224773407,-0.3272343277931213,V4.1_STRICT
BW029,1,Area Selatan Jalan Arteri,Bagor,-7.5830835551307345,111.85619796917356,High,Positive_Reference,Original_Positive_Reference,0.0475500002503395,0.0589499995112419,0.0571999996900558,0.1343999952077865,0.1530500054359436,0.0991000011563301,0.4094389081001282,-0.3877807259559631,V4.1_STRICT
BW033,1,Pertanian Desa Campur,Gondang,-7.481214601911581,111.95258719915957,Medium,Positive_Reference,Original_Positive_Reference,0.0538000017404556,0.0727000012993812,0.0882000029087066,0.2377000004053115,0.3088000118732452,0.1923999935388565,0.4241823554039001,-0.4650478363037109,V4.1_STRICT
BW034,1,Area Selatan Gondang,Gondang,-7.508433555020402,111.95752793322222,High,Positive_Reference,Original_Positive_Reference,0.0386999994516372,0.061549998819828,0.045449998229742,0.2072000056505203,0.1815000027418136,0.0997999981045723,0.637303352355957,-0.5455341339111328,V4.1_STRICT
BW035,1,Sawah Desa Balonggebang,Gondang,-7.512655636855763,111.954204166671,High,Positive_Reference,Original_Positive_Reference,0.0471000000834465,0.0664499998092651,0.0552500002086162,0.2374999970197677,0.2055500000715255,0.1124999970197677,0.6068192720413208,-0.5551743507385254,V4.1_STRICT
BW036,1,Persawahan Ngujung,Gondang,-7.488131629599301,111.94836511732422,High,Positive_Reference,Original_Positive_Reference,0.0260000005364418,0.0449000000953674,0.0289999991655349,0.2861999869346618,0.2047999948263168,0.096900001168251,0.8113207817077637,-0.7222394347190857,V4.1_STRICT
BW037,1,Blok Timur Karangsemi,Gondang,-7.497204613968908,111.96013304754618,Medium,Positive_Reference,Original_Positive_Reference,0.0295000001788139,0.0483999997377395,0.033900000154972,0.2842000126838684,0.2113000005483627,0.1042999997735023,0.7776315808296204,-0.7090250253677368,V4.1_STRICT
BW039,1,Area Pertanian Kedungglugu,Gondang,-7.465134758325841,111.96121102588712,Medium,Positive_Reference,Original_Positive_Reference,0.0604999996721744,0.0843999981880188,0.0794000029563903,0.2836000025272369,0.2939999997615814,0.1801500022411346,0.5273855924606323,-0.523792564868927,V4.1_STRICT
BW040,1,Sawah Dekat Hutan,Gondang,-7.459744866621124,111.95833641697794,High,Positive_Reference,Original_Positive_Reference,0.0255999993532896,0.045499999076128,0.0273000001907348,0.2414000034332275,0.1817000061273574,0.0825999975204467,0.796875,-0.6829268336296082,V4.1_STRICT
DWN002,0,Dynamic World temporal trees,Rejoso,-7.483640053178703,111.82385861894524,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,0.0288500003516674,0.0505999997258186,0.0356499999761581,0.2619000077247619,0.1688500046730041,0.0857499986886978,0.7560281157493591,-0.6700364351272583,V4.1_STRICT
DWN003,0,Dynamic World temporal trees,Bagor,-7.6292569607344785,111.81640260208704,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,0.0292000006884336,0.046399999409914,0.0296000000089406,0.2855499982833862,0.1805000007152557,0.0828000009059906,0.8060815930366516,-0.7121413946151733,V4.1_STRICT
DWN004,0,Dynamic World temporal trees,Rejoso,-7.492174048377839,111.8738947802707,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,0.0303000006824731,0.0529999993741512,0.0348999984562397,0.314300000667572,0.1995999962091446,0.1033999994397163,0.8066481947898865,-0.7114075422286987,V4.1_STRICT
DWN005,0,Dynamic World temporal trees,Rejoso,-7.442856539279678,111.86589977424204,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,0.0264999996870756,0.0472000017762184,0.0252999998629093,0.365200012922287,0.1643999963998794,0.0710000023245811,0.8725696802139282,-0.7728986740112305,V4.1_STRICT
DWN006,0,Dynamic World temporal trees,Rejoso,-7.48390954776394,111.82143316767812,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,0.0373000018298625,0.061099998652935,0.0384000018239021,0.2861999869346618,0.1800999939441681,0.093199998140335,0.7507147192955017,-0.6400642991065979,V4.1_STRICT
DWN007,0,Dynamic World temporal built,Sukomoro,-7.623328079859289,111.93156662151118,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,0.0592000000178813,0.0702499970793724,0.0831499993801117,0.1391000002622604,0.2666999995708465,0.2452500015497207,0.2405240088701248,-0.3329817950725555,V4.1_STRICT
DWN008,0,Dynamic World temporal built,Rejoso,-7.540413579135057,111.879194840447,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,0.0857999995350837,0.0868000015616417,0.1089999973773956,0.1811999976634979,0.2827999889850616,0.2478999942541122,0.2418634295463562,-0.3431635499000549,V4.1_STRICT
DWN009,0,Dynamic World temporal built,Bagor,-7.603205817495012,111.8504487513552,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,0.0729999989271164,0.091399997472763,0.1088000014424324,0.1904000043869018,0.2585999965667724,0.2221000045537948,0.2756325006484985,-0.356220006942749,V4.1_STRICT
DWN010,0,Dynamic World temporal built,Bagor,-7.587125973909273,111.88413557450966,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,0.0667999982833862,0.0839999988675117,0.1164000034332275,0.1689999997615814,0.232800006866455,0.2114000022411346,0.1897289603948593,-0.3359683752059936,V4.1_STRICT
DWN011,0,Dynamic World temporal built,Bagor,-7.570237646567826,111.85718611598608,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,0.1265999972820282,0.1272000074386596,0.1255999952554702,0.1653999984264373,0.2544000148773193,0.2418999969959259,0.1280757039785385,-0.1229357793927192,V4.1_STRICT
DWN012,0,Dynamic World temporal built,Bagor,-7.596288789807292,111.85242504498024,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,0.1067000031471252,0.1207000017166137,0.1297000050544738,0.1911499947309494,0.2484499961137771,0.2161000072956085,0.1770659983158111,-0.2109827846288681,V4.1_STRICT
DWN013,0,Dynamic World temporal built,Rejoso,-7.543827177214712,111.88045248184476,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,0.0750999972224235,0.096000000834465,0.100100003182888,0.2198999971151352,0.2581000030040741,0.1943999975919723,0.3676563501358032,-0.390350878238678,V4.1_STRICT
DWN015,0,Dynamic World temporal water,Rejoso,-7.495407983400669,111.8835965853392,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,0.0318999998271465,0.036200001835823,0.0242999996989965,0.0108000002801418,0.016499999910593,0.0099999997764825,-0.3846153914928436,0.5068492889404297,V4.1_STRICT
DWN017,0,Dynamic World temporal water,Rejoso,-7.488580787241361,111.89096277066898,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,0.0337999984622001,0.0409500002861022,0.0288500003516674,0.0152500001713633,0.0156999994069337,0.0127999996766448,-0.2940263748168945,0.4697287082672119,V4.1_STRICT
DWN018,0,Dynamic World temporal water,Rejoso,-7.495767309514317,111.87973382961748,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,0.0293000005185604,0.0379999987781047,0.0282000005245208,0.0133999995887279,0.0142000000923872,0.0114000001922249,-0.3557692170143127,0.4785992205142975,V4.1_STRICT
DWN019,0,Dynamic World temporal water,Rejoso,-7.496126635627965,111.87425410638434,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,0.0342000015079975,0.0443000011146068,0.0307999998331069,0.0175999999046325,0.0232999995350837,0.016499999910593,-0.1775700896978378,0.3611615300178528,V4.1_STRICT
DWN020,0,Dynamic World temporal built,Sukomoro,-7.615692399944273,111.92752420273264,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,0.1085999980568885,0.1278000026941299,0.1516000032424926,0.1986500024795532,0.2456000000238418,0.2227499932050705,0.1338976323604583,-0.2273944765329361,V4.1_STRICT
DWN021,0,Dynamic World temporal built,Sukomoro,-7.606080426404194,111.94584983452869,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,0.0820500031113624,0.1111999973654747,0.1120999976992607,0.2537499964237213,0.2475499957799911,0.2102500051259994,0.3747853636741638,-0.3943159580230713,V4.1_STRICT
DWN022,0,Dynamic World temporal built,Rejoso,-7.569698657397354,111.8972509776578,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,0.0769999995827674,0.0824000015854835,0.1044000014662742,0.1533000022172927,0.2554999887943268,0.2310999929904937,0.1854636520147323,-0.3002754747867584,V4.1_STRICT
DWN023,0,Dynamic World temporal built,Bagor,-7.556762917306033,111.86545061659996,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,0.0943500027060508,0.1026500016450882,0.1140000000596046,0.1686999946832656,0.2623499929904938,0.2285999953746795,0.2085797637701034,-0.2491936832666397,V4.1_STRICT
DWN024,0,Dynamic World temporal water,Rejoso,-7.486065504445826,111.8926695697088,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,0.035300001502037,0.0443999990820884,0.0314499996602535,0.0186999998986721,0.0190999992191791,0.0172499995678663,-0.2542306184768677,0.3768033981323242,V4.1_STRICT
DWN025,0,Dynamic World temporal built,Rejoso,-7.569698657397354,111.89024411844169,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,0.1158000007271766,0.1299999952316284,0.1456000059843063,0.181999996304512,0.2834999859333038,0.263399988412857,0.1098867431282997,-0.1659249812364578,V4.1_STRICT
DWN026,0,Dynamic World temporal built,Sukomoro,-7.612638127978267,111.93048864317024,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,0.1041999980807304,0.1208000034093856,0.1327999979257583,0.1917500048875808,0.2655999958515167,0.225950002670288,0.1786953508853912,-0.2188454121351242,V4.1_STRICT
DWN027,0,Dynamic World temporal built,Sukomoro,-7.609763519069085,111.93668701863064,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,0.0430499985814094,0.0586999990046024,0.0481499992311,0.2612999975681305,0.2182500064373016,0.1634999960660934,0.6831251382827759,-0.6359889507293701,V4.1_STRICT
