Parent_Site,Label,Lokasi,DW_Class,DW_Probability,DW_Consistency,DW_Score,Kecamatan,Latitude,Longitude,Distance_Positive_m,Confidence,Reference_Type,Source,Period,Use_For_Training,B2,B3,B4,B8,B11,B12,NDVI,NDWI
DWN011,0,Dynamic World temporal built,built,0.7406915612906838,1.0,0.8444149367744103,Bagor,-7.570237646567826,111.85718611598608,519.0002186349359,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.1265999972820282,0.12720000743865967,0.12559999525547028,0.16539999842643738,0.25440001487731934,0.2418999969959259,0.1280757039785385,-0.12293577939271927
DWN012,0,Dynamic World temporal built,built,0.7405809061601758,1.0,0.8443485436961056,Bagor,-7.596288789807292,111.85242504498025,935.742562716078,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.10670000314712524,0.12070000171661377,0.12970000505447388,0.1911499947309494,0.24844999611377716,0.21610000729560852,0.17706599831581116,-0.2109827846288681
DWN013,0,Dynamic World temporal built,built,0.7394949551962782,1.0,0.8436969731177669,Rejoso,-7.543827177214712,111.88045248184477,201.74303531320447,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.07509999722242355,0.09600000083446503,0.10010000318288803,0.2198999971151352,0.2581000030040741,0.19439999759197235,0.3676563501358032,-0.390350878238678
DWN014,0,Dynamic World temporal water,water,0.2351638951256652,0.529411792755127,0.3528630541774499,Sukomoro,-7.597366768148235,111.94504135077297,238.46523529591732,Pseudo_Lower,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.060350000858306885,0.07225000113248825,0.0738999992609024,0.09969999641180038,0.10499999672174454,0.0702499970793724,0.1304394155740738,-0.1805712729692459
DWN015,0,Dynamic World temporal water,water,0.748678793257568,1.0,0.8492072759545408,Rejoso,-7.4954079834006695,111.88359658533919,3318.7456682967813,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.03189999982714653,0.03620000183582306,0.024299999698996544,0.01080000028014183,0.016499999910593033,0.009999999776482582,-0.38461539149284363,0.5068492889404297
DWN016,0,Dynamic World temporal water,water,0.47570954798720777,1.0,0.6854257287923247,Gondang,-7.579041136352196,111.99031644109259,4703.9896854573235,Pseudo_Medium,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.051100000739097595,0.0658000037074089,0.05299999937415123,0.07050000131130219,0.10279999673366547,0.0544000007212162,0.08936970680952072,-0.009292352013289928
DWN017,0,Dynamic World temporal water,water,0.7482299968251027,1.0,0.8489379980950617,Rejoso,-7.488580787241361,111.89096277066898,4099.187382024961,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.033799998462200165,0.040950000286102295,0.028850000351667404,0.015250000171363354,0.015699999406933784,0.012799999676644802,-0.29402637481689453,0.4697287082672119
DWN018,0,Dynamic World temporal water,water,0.7482188304420561,1.0,0.8489312982652337,Rejoso,-7.495767309514317,111.87973382961748,3343.259920640161,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.02930000051856041,0.03799999877810478,0.028200000524520874,0.013399999588727951,0.0142000000923872,0.01140000019222498,-0.35576921701431274,0.4785992205142975
DWN019,0,Dynamic World temporal water,water,0.7422351028653793,1.0,0.8453410617192276,Rejoso,-7.496126635627965,111.87425410638434,3484.8750033558717,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.03420000150799751,0.04430000111460686,0.030799999833106995,0.01759999990463257,0.02329999953508377,0.016499999910593033,-0.17757008969783783,0.3611615300178528
DWN020,0,Dynamic World temporal built,built,0.7385364025831223,1.0,0.8431218415498734,Sukomoro,-7.615692399944273,111.92752420273264,1428.2625480837144,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.10859999805688858,0.12780000269412994,0.15160000324249268,0.19865000247955322,0.24560000002384186,0.2227499932050705,0.13389763236045837,-0.2273944765329361
DWN021,0,Dynamic World temporal built,built,0.7377469060399259,1.0,0.8426481436239555,Sukomoro,-7.606080426404194,111.94584983452867,817.9983067877607,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.08205000311136246,0.1111999973654747,0.11209999769926071,0.2537499964237213,0.24754999577999115,0.21025000512599945,0.3747853636741638,-0.3943159580230713
DWN022,0,Dynamic World temporal built,built,0.7371948454196432,1.0,0.842316907251786,Rejoso,-7.569698657397354,111.8972509776578,2554.77716947329,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.07699999958276749,0.08240000158548355,0.10440000146627426,0.15330000221729279,0.2554999887943268,0.23109999299049377,0.18546365201473236,-0.3002754747867584
DWN023,0,Dynamic World temporal built,built,0.7369418026480291,1.0,0.8421650815888175,Bagor,-7.556762917306033,111.86545061659997,786.7606476249629,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.09435000270605087,0.1026500016450882,0.11400000005960464,0.16869999468326569,0.2623499929904938,0.22859999537467957,0.20857976377010345,-0.2491936832666397
DWN024,0,Dynamic World temporal water,water,0.7365427442709915,1.0,0.8419256465625949,Rejoso,-7.486065504445826,111.8926695697088,4403.247783477309,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.03530000150203705,0.04439999908208847,0.031449999660253525,0.018699999898672104,0.019099999219179153,0.017249999567866325,-0.2542306184768677,0.3768033981323242
DWN025,0,Dynamic World temporal built,built,0.7360151434259024,1.0,0.8416090860555414,Rejoso,-7.569698657397354,111.89024411844167,2374.8121178314927,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.11580000072717667,0.12999999523162842,0.14560000598430634,0.18199999630451202,0.28349998593330383,0.26339998841285706,0.10988674312829971,-0.16592498123645782
DWN026,0,Dynamic World temporal built,built,0.735865613238679,1.0,0.8415193679432074,Sukomoro,-7.612638127978267,111.93048864317024,957.0310579546606,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.10419999808073044,0.12080000340938568,0.13279999792575836,0.19175000488758087,0.2655999958515167,0.22595000267028809,0.17869535088539124,-0.2188454121351242
DWN027,0,Dynamic World temporal built,built,0.7352020234898909,1.0,0.8411212140939346,Sukomoro,-7.609763519069085,111.93668701863065,380.7351654448853,Pseudo_High,DynamicWorld_PseudoReference,GOOGLE/DYNAMICWORLD/V1,Jul-Aug 2025,True,0.043049998581409454,0.05869999900460243,0.04814999923110008,0.2612999975681305,0.21825000643730164,0.16349999606609344,0.6831251382827759,-0.6359889507293701
