Sample_ID,Kecamatan,Area_Spesifik,Latitude,Longitude,Label,Kelas_Detail,Confidence,Sumber_GT,Ciri_Visual
BW014,Rejoso,Timur Kantor Kecamatan,-7.548411,111.888501,1,Bawang Merah,High,Interpretasi Visual Satelit,Bedengan tanah gembur dengan sistem pengairan intensif.
BW016,Rejoso,Pertanian Klagen,-7.538122,111.88341,1,Bawang Merah,Medium,Interpretasi Visual Satelit,Tekstur vegetasi rendah dan rapat (bukan padi).
BW017,Rejoso,Blok Barat Rejoso,-7.546205,111.879125,1,Bawang Merah,High,Interpretasi Visual Satelit,"Hamparan bawang merah menjelang panen, hijau kekuningan."
BW018,Rejoso,Sawah Perbatasan Bagor,-7.55541,111.872502,1,Bawang Merah,Medium,Interpretasi Visual Satelit,Lahan dengan pantulan cahaya tinggi dari tanah bedengan.
BW019,Rejoso,Area Utara Jalan Tol,-7.525105,111.886214,1,Bawang Merah,High,Interpretasi Visual Satelit,Petak-petak bawang merah komersial skala besar.
BW020,Rejoso,Sawah Dekat Sungai,-7.54172,111.884315,1,Bawang Merah,High,Interpretasi Visual Satelit,Bedengan melengkung mengikuti kontur aliran irigasi.
BW021,Bagor,Persawahan Desa Bagor Kulon,-7.575102,111.85521,1,Bawang Merah,High,Interpretasi Visual Satelit,Pola bedengan searah dengan jalan desa.
BW022,Bagor,Sawah Desa Guyangan,-7.572315,111.861405,1,Bawang Merah,High,Interpretasi Visual Satelit,Lahan sentra bawang merah dengan tekstur garis tajam.
BW023,Bagor,Area Pertanian Banaran,-7.581203,111.851612,1,Bawang Merah,High,Interpretasi Visual Satelit,Dominasi warna tanah merah bata dan hijau tunas.
BW024,Bagor,Sawah Desa Paron,-7.588411,111.858501,1,Bawang Merah,High,Interpretasi Visual Satelit,"Petak sempit memanjang, khas lahan bawang Bagor."
BW025,Bagor,Blok Timur Bagor,-7.575613,111.868215,1,Bawang Merah,Medium,Interpretasi Visual Satelit,Lahan intensif dengan naungan/jaring di beberapa titik.
BW026,Bagor,Sawah Desa Ngumpul,-7.568122,111.86341,1,Bawang Merah,High,Interpretasi Visual Satelit,Hamparan bedengan sejajar saluran sekunder.
BW027,Bagor,Pertanian Kendalrejo,-7.591205,111.859125,1,Bawang Merah,High,Interpretasi Visual Satelit,"Pola tanam rapat, berbeda dari tekstur sawah padi sekitarnya."
BW028,Bagor,Sawah Barat Timbangan,-7.57641,111.860502,1,Bawang Merah,High,Interpretasi Visual Satelit,Garis parit membelah bedengan secara rapi.
BW029,Bagor,Area Selatan Jalan Arteri,-7.583105,111.856214,1,Bawang Merah,High,Interpretasi Visual Satelit,Dominasi vegetasi bawang merah musim kemarau.
BW033,Gondang,Pertanian Desa Campur,-7.481203,111.952612,1,Bawang Merah,Medium,Interpretasi Visual Satelit,Bedengan tanah berpasir kemerahan.
BW034,Gondang,Area Selatan Gondang,-7.508411,111.957501,1,Bawang Merah,High,Interpretasi Visual Satelit,Hamparan bawang merah dengan sistem irigasi sumur dalam.
BW035,Gondang,Sawah Desa Balonggebang,-7.512613,111.954215,1,Bawang Merah,High,Interpretasi Visual Satelit,"Pola tanam linier, tekstur vegetasi lebih rendah dari tebu."
BW036,Gondang,Persawahan Ngujung,-7.488122,111.94841,1,Bawang Merah,High,Interpretasi Visual Satelit,Area lahan kering yang dimanfaatkan untuk bawang merah.
BW037,Gondang,Blok Timur Karangsemi,-7.497205,111.960125,1,Bawang Merah,Medium,Interpretasi Visual Satelit,Petak kecil dengan dominasi warna hijau segar.
BW039,Gondang,Area Pertanian Kedungglugu,-7.465105,111.961214,1,Bawang Merah,Medium,Interpretasi Visual Satelit,Lahan datar dengan sistem pengairan tadah hujan/sumur.
BW040,Gondang,Sawah Dekat Hutan,-7.45972,111.958315,1,Bawang Merah,High,Interpretasi Visual Satelit,Bawang merah di area lahan terbuka dekat pinggiran desa.
